text,category
"Nobody wants an employee who can barely operate a smartphone, time to retire and make room for us.",age
"Yeh buddhe log ab tak retire kyun nahi hote, inki wajah se hum jaise young log promotion nahi le pate.",age
"Old people should stop driving, they're a menace on the road and slow everyone down.",age
"Dadi ko toh kuch samajh hi nahi aata, phone bhi theek se chala nahi paati, bas naya zamana samajhne ki koshish mat karo.",age
"Boomers ruined the economy and now they lecture us about hard work, absolute joke.",age
"Uncle ji ko office meetings mein bulana hi bekaar hai, unko toh kuch naya idea aata hi nahi.",age
"Why does the company keep this 60-year-old around, he's clearly past his prime and slowing the team down.",age
"Buddhapa aa gaya hai tumhe, ab ghar baitho aur bacchon ko decisions lene do.",age
"These millennials can't even hold a proper phone call, entitled generation that expects everything handed to them.",age
"Grandpa still thinks he can code, someone should tell him technology moved on decades ago.",age
"Itni umar ho gayi hai aur abhi bhi naukri dhundh rahe ho, sharam nahi aati kisi jawan ki jagah lene mein.",age
"Gen Z kids cry over everything, no resilience at all, our generation actually worked hard.",age
"Budhiya ko committee mein kyun rakha hai, uski soch toh sadiyon purani hai.",age
"Senior citizens clog up hospital queues complaining about every little ache, some patience please.",age
"Tumhari umar mein toh log chup chaap baith jaate hain, itni energy dikhane ki zaroorat kya hai.",age
"The new intern is too young to understand real responsibility, kids these days expect trophies for showing up.",age
"Yeh 70 saal ke aadmi ko board meeting mein kya samajh aayega, unka time nikal chuka hai.",age
"Retire karo ab, naye logon ko chance do, tumhari generation ne toh kuch improve hi nahi kiya.",age
"Old-timers in this office act like their outdated methods are still relevant, embarrassing to watch.",age
"Aaji ko har baat samjhani padti hai baar baar, patience khatam ho jata hai unke saath.",age
Why hire someone in their fifties when a twenty-something can do it faster and cheaper?,age
"Bacche aajkal kuch seedha kaam nahi karte, phone mein ghuse rehte hain din bhar, koi discipline nahi.",age
"That old professor still teaches from notes written thirty years ago, completely out of touch.",age
"Nana ji ko gaadi chalane se mana kardo, unki reaction speed ab kaam ki nahi rahi.",age
These teenagers think they know everything just because they watched a few videos online.,age
"Budhe logon ko committee se hata do, unka dimaag ab kaam nahi karta naye ideas ke liye.",age
"An employee past sixty shouldn't even be considered for a leadership role anymore, obviously.",age
"Kal ki peedhi ko kuch bhi seedha pata nahi, humesha excuses dete rehte hain kaam se bachne ke.",age
"Look at her, still trying to dress young at her age, it's honestly embarrassing to watch.",age
"Buddhe sasur ko ghar ke faisle lene ka koi haq nahi, ab unka zamana chala gaya.",age
"This generation of kids can't even write a proper sentence without autocorrect, sad state of affairs.",age
"Umar dekh apni, ab yeh sab karne ki koi zaroorat nahi, ghar baith ke aaram karo.",age
"HR should quietly phase out staff over fifty-five, they cost more and adapt slower than the rest.",age
"Yeh nana purani baatein leke baithe rehte hain, unhe aaj ke time ka kuch pata hi nahi.",age
"Kids born after 2005 have zero attention span, blame the phones their parents handed them.",age
"Budhi aurat ko society meeting mein bolne ka mauka hi nahi milna chahiye, purani soch hai unki.",age
"He's too old to learn new software, might as well put him out to pasture already.",age
"Yeh chacha ji abhi bhi apne zamane ki baatein sunate rehte hain, bore kar dete hain sabko.",age
"Elderly relatives always complain about the youth but never adapted themselves either, pure hypocrisy.",age
"Biharis are only good for cheap labor, don't expect them to understand real city work.",ethnicity
"South Indians always smell of coconut oil, can't stand sitting near them in the metro.",ethnicity
"Chinese people eat literally anything that moves, disgusting culture honestly.",ethnicity
"North-easterners get treated like foreigners in their own country, people call them chinki on the street.",ethnicity
Those Bengali migrants are flooding our city and taking every low-paying job available.,ethnicity
"Marwari businessmen only care about profit, they'd sell their own mother for a good deal.",ethnicity
"Mexicans crossing over just want handouts, they never actually want to work honestly.",ethnicity
"UP walo ka toh dimag hi nahi chalta, sab yahi soch ke aate hain ki Mumbai mein loot machayenge.",ethnicity
"Punjabis are loud, aggressive, and think money solves every single problem in life.",ethnicity
"Madrasi log Hindi bolna hi nahi chahte, itni ghamand kyun hai apni bhasha ki.",ethnicity
"Africans immigrants in this neighborhood are the reason crime rates went up, everyone knows it.",ethnicity
"Gujarati traders will cheat you the moment you turn your back, it's basically in their blood.",ethnicity
"Nepali workers here are treated as second-class, people assume they can only do menial labor.",ethnicity
"Arabs think their oil money makes them better than everyone else, arrogant behavior everywhere.",ethnicity
"Rajasthani in-laws are so backward, they still follow rules from a hundred years ago.",ethnicity
Assamese students face constant mockery for their accent whenever they move to a metro city.,ethnicity
White tourists come here and act like the entire country exists to serve their comfort.,ethnicity
"Tamilians are obsessed with their language, they act superior over every other South Indian group.",ethnicity
Kashmiri students get suspicious looks from everyone the moment they mention where they're from.,ethnicity
"Israeli tourists haggle over every single rupee like their life depends on it, embarrassing to watch.",ethnicity
"Sindhi community is known for being cheap, they'll argue over ten rupees at any shop.",ethnicity
Russian expats drink like there's no tomorrow and think local rules don't apply to them.,ethnicity
Odia workers on this site get paid less because supervisors assume they won't complain.,ethnicity
Bangladeshi laborers are blamed for every theft in this locality without any actual proof.,ethnicity
Jat community thinks land ownership makes them above the law in their own villages.,ethnicity
Koreans in this office keep to themselves and act like collaborating with locals is beneath them.,ethnicity
"Malayali nurses abroad are seen as just cheap labor, nobody respects their actual qualifications.",ethnicity
Irish tourists get a free pass for rowdy behavior that would get anyone else kicked out.,ethnicity
Telugu speaking colleagues get mocked constantly for their accent during client calls.,ethnicity
Romani travelers are treated like criminals the second they enter any European shop.,ethnicity
"Haryanvi boys have this reputation of treating women badly, people warn their daughters about it.",ethnicity
Filipino domestic workers abroad are overworked because employers assume they won't push back.,ethnicity
"Brahmins in this office still act superior during lunch, refusing to share a table with everyone.",ethnicity
Vietnamese immigrants are blamed for lowering wages in the local factory jobs around here.,ethnicity
Marathi manoos rhetoric gets used to justify harassing anyone who isn't originally from the state.,ethnicity
Pakistani cricket fans online get flooded with abuse the second their team loses a match.,ethnicity
Adivasi communities get called backward by city folk who've never even visited their villages.,ethnicity
Nigerian students abroad constantly get accused of scams just because of where they're from.,ethnicity
Sikh community gets stereotyped as aggressive just because of turban and beard in airports.,ethnicity
Dalit colleagues still get excluded from informal social gatherings organised by upper-caste staff.,ethnicity
A woman leading this project? She'll probably cry the first time someone disagrees with her.,gender
"Ladkiyon ko engineering line mein aana hi nahi chahiye, yeh field sirf ladkon ke liye bani hai.",gender
"Real men don't cry, if you're breaking down over stress you're simply not cut out for this job.",gender
"Aurat ka kaam ghar sambhalna hai, career ke peeche bhagna unki fitrat mein hi nahi hai.",gender
"Female drivers cause more accidents, everyone knows women shouldn't be trusted behind the wheel.",gender
"Beta hone se hi ghar ka naam roshan hota hai, beti toh bas paraya dhan hoti hai.",gender
Stay-at-home dads are basically freeloaders who let their wives do all the real earning.,gender
"Ladkon ko rona nahi chahiye, mard bankar dikhana seekho, jazbaat dikhana kamzori hai.",gender
"She only got promoted because the manager likes her, not because she's actually skilled at the job.",gender
"Ghar ke faisle sirf mard lega, aurat ki raay ki yahan koi zaroorat nahi hai.",gender
Men who do makeup tutorials online are honestly just confused about their own identity.,gender
"Working mothers are basically neglecting their kids for a paycheck, priorities are all wrong.",gender
"Larki ho tum, itni raat ko akeli bahar ghoomna sahi baat nahi hai, log kya kahenge.",gender
A husband earning less than his wife should honestly feel ashamed of himself.,gender
"Auraton ko politics mein aane ki zaroorat nahi, yeh mardon ka khel hai, unko samajh nahi aayega.",gender
"Boys who play with dolls will grow up soft, parents should stop that habit immediately.",gender
"Bahu ko sasural mein chup rehna sikhana padta hai, zyada bolne wali larkiyan pasand nahi aati.",gender
Any man who takes paternity leave clearly isn't serious about his career.,gender
"Larkiyan sports mein time waste karti hain, unka focus toh sirf shaadi par hona chahiye.",gender
Female bosses are always more emotional and unpredictable compared to male managers.,gender
"Beti ko zyada padhaoge toh shaadi mein dikkat aayegi, log itni educated ladki se darte hain.",gender
A man who can't fix basic things around the house isn't really being a proper husband.,gender
"Auraton ko gaadi chalana sikhane ki koshish bekaar hai, unka dimag technical cheezon mein chalta hi nahi.",gender
Guys who ask for help with heavy lifting are just embarrassing themselves in front of everyone.,gender
"Larka paida hote hi mithai batti hai, larki hone par sab udaas ho jaate hain, yehi hamara samaj hai.",gender
Single mothers raising kids alone are practically asking for judgment from the whole community.,gender
"Ladki ki job sirf tab tak chalegi jab tak shaadi nahi hoti, uske baad ghar sambhalna zaroori hai.",gender
"A man in a nursing profession is honestly a little strange, that's just not a manly career choice.",gender
"Auraton ko itni tanqwah milna galat hai, unka kaam toh mardon jitna mushkil hota hi nahi.",gender
Women who don't want kids are seen as selfish and incomplete by half the people around them.,gender
"Larki hoke gym jaana, body banana yeh sab dikhawa hai, isse koi izzat nahi milti.",gender
Men who show any vulnerability at work get labeled weak by their own colleagues instantly.,gender
"Beti ki shaadi ke baad sasural walon ki har baat maanni padti hai, yahi toh sanskar hai.",gender
A husband cooking dinner every night makes people quietly question who really wears the pants.,gender
"Aurat ki jagah kitchen mein hai, boardroom mein nahi, itni simple si baat samajh nahi aati logon ko.",gender
Boys who avoid contact sports get teased for not being masculine enough by their own friends.,gender
Ladkiyon ka late night shift karna family ki izzat ke khilaf mana jata hai humare mohalle mein.,gender
A father who prioritizes his kids over his career is basically failing at being a provider.,gender
"Auraton se tough decisions lene ki umeed karna hi galat hai, woh emotional soch se kaam karti hain.",gender
Hindus who eat beef in secret are hypocrites pretending to follow their own religion.,religion
"Christians only converted people here for money, their charity work is just a recruitment scam.",religion
"Sikh community makes such a big deal about their turban, just cut your hair like everyone else.",religion
Buddhist monks preach peace but do nothing when their own community faces real problems.,religion
"Brahmin pandit ko bulaakar hi shaadi honi chahiye, baaki sab toh bas dikhawa hai.",religion
"Atheists have no morals since they don't fear any god, that's why crime rates are so high nowadays.",religion
Jain community is so obsessed with rules about food that they've forgotten basic human kindness.,religion
Church-going people act holy on Sunday and cheat everyone the rest of the week.,religion
"Hindu tyohaar manana bhi ab dikhawa ban gaya hai, asli bhakti kisi mein bachi hi nahi.",religion
Parsis think their small community makes them superior to everyone else in this city.,religion
"Sikhs are always shown as either comic relief or aggressive in movies, disrespectful stereotyping.",religion
Ghar mein pooja karna zaroori hai warna log kehte hain iska koi dharm hi nahi hai.,religion
Buddhists claiming to be non-violent is a joke considering the conflicts in some Buddhist countries.,religion
Christian missionaries in tribal areas exploit poverty to push their own beliefs on people.,religion
"Nastik logon ko samaj mein izzat nahi milti, unhe hamesha shaq ki nazar se dekha jaata hai.",religion
