cleaned_text,cyberbullying_type
You're clearly too set in your ways and too old to understand modern tech stack workflows.,age
"Why is someone past retirement age still blocking promotions for younger, deserving talent in the department?",age
Gen Z interns cannot go five minutes without crying over basic deadlines and expecting a medal.,age
"Let's be honest, at your age your cognitive speed just isn't suited for fast-paced agile development anymore.",age
"Typical boomer mentality, hoarding senior titles while being completely out of touch with real-world problems.",age
She shouldn't be leading a client-facing pitch looking that frail and exhausted.,age
These twenty-somethings lack any real work ethic and just complain about mental health all day.,age
Shouldn't you be at home looking after grandchildren instead of pretending to understand venture capital?,age
"The client specifically requested a younger, more energetic team, so you need to step aside.",age
Old people on social media shouldn't be allowed to comment on future policies they won't live to see.,age
"Uncle ji ab aapka time gaya, modern software architecture aapke bas ki baat nahi hai.",age
"In Gen-Z walon ko bas reels banana aata hai, office mein thoda sa kaam bolo toh burnout ka drama shuru.",age
"Iss budhau ko project lead kisne banaya, pure sprint ka pace slow kar diya isne.",age
Aap jaise senior citizens ko executive roles se hatakar advisory bench pe bitha dena chahiye.,age
"Naye ladke bas AC mein baithkar entitlement dikhate hain, zero dedication towards the company.",age
"Fifty plus ho gaye ho, ab resignation dekar pension enjoy karo na, naye logon ka rasta kyu rok rahe ho.",age
Yeh purani generation ke managers ko micromanage karne ke alawa kuch naya seekhna hi nahi hai.,age
"Tech lead banne ke liye youth aur fresh perspective chahiye, outdated dimaag nahi chalega.",age
Colleague ko dekh ke lagta hai retirement home se direct uthke meeting join kar li ho.,age
रिटायरमेंट की उम्र में युवाओं की नौकरियां छीनना बंद करो और घर बैठो।,age
"आजकल के नौजवान सिर्फ फोन में घुसे रहते हैं, कोई जिम्मेदारी लेना इनके बस का नहीं।",age
"इस बुढ़ापे में कोडिंग सीखने का नाटक मत करो, नई तकनीक समझना तुम्हारे वश की बात नहीं है।",age
बुजुर्ग कर्मचारियों की धीमी रफ्तार की वजह से पूरी टीम की परफॉर्मेंस खराब हो रही है।,age
"नई पीढ़ी के लड़कों में तमीज नाम की चीज नहीं बची, हर बात पर बहस करते हैं।",age
