text,category,label,language
"Shut up you senile old hag boomer!",Age,1,English
"You are too old to understand technology grandpa.",Age,1,English
"Go back to the kitchen and make me a sandwich bitch.",Gender,1,English
"She only got promoted because she is a golddigger thot.",Gender,1,English
"Go back to your country you illegal immigrant scum.",Ethnicity,1,English
"Curryboy stop posting online nobody likes your race.",Ethnicity,1,English
"You religious fanatic terrorist go back to your cult.",Religion,1,English
"All ricebag infidels should be removed.",Religion,1,English
"Tu bilkul chutiya aur pagal hai, bakwas band kar.",Other,1,Hinglish
"Hope you have a wonderful day ahead with your family!",Not Cyberbullying,0,English
"Great presentation today! Very informative slides.",Not Cyberbullying,0,English
"Bhai call me when you reach home.",Not Cyberbullying,0,Hinglish
