text,category
"A male nurse is just someone who wasn't smart enough to get through medical school.",gender
"She’s clearly only getting the client lead role because corporate wants to look progressive on their investor calls.",gender
"Stay-at-home dads are just unemployed men freeloading off their wives while pretending household chores are full-time jobs.",gender
"Putting an emotional woman in charge of high-stakes crisis communications is asking for a disaster.",gender
"Real men don't take mental health days off work to whine about mild burnout.",gender
"She probably flirts her way out of critical performance reviews whenever targets are missed.",gender
"Courts always side with vindictive mothers even when they are blatantly alienating children from caring fathers.",gender
"If he can't lift heavy equipment on site without groaning, why is he taking a tradesman salary?",gender
"Female founders talk endlessly about empathy and culture because they cannot handle hard unit economics.",gender
"A husband asking his wife's permission before buying personal gadgets has completely surrendered his self-respect.",gender
"Bhai tu kitchen sambhalne ke liye bana hai, team lead banne ki aukaat nahi hai teri.",gender
"Client presentation mein technical depth kam aur make-up ka display zyada dikh raha tha.",gender
"Ladka hokar public forum mein rona-dhona band kar, thoda mature banna seekh.",gender
"Late night production deployment female developers se nahi sambhali jayegi, kisi ladke ko assign karo.",gender
"Shaadi ke baad career pursue karna tha toh bachhe paida karke unhe maids ke bharose kyu chhod diya?",gender
"Salary badhwane ke liye appraisal meeting mein sympathy card use karna female managers ki puraani aadat hai.",gender
"Ghar ka kharcha chalane ke liye biwi ke cheque par depend rehne wale mard ko koi izzat nahi milti.",gender
"Boardroom mein soft approach rakhne wale weak men company ka share price gira dete hain.",gender
"Ladkiyan sirf visual design aur social media handle karne aati hain, actual backend architecture inke bas ka nahi.",gender
"अगर कोई पुरुष अपनी पत्नी के सामने अपनी राय नहीं रख सकता, तो वह समाज में भी रीढ़विहीन माना जाएगा।",gender
"कॉरपोरेट की शीर्ष बैठकों में महिलाओं की राय केवल औपचारिकता पूरी करने के लिए ली जाती है।",gender
"मर्द का काम परिवार की ढाल बनना है, घर बैठकर अवसाद का बहाना बनाना कायरता है।",gender
"मातृत्व अवकाश के नाम पर छह महीने की छुट्टी लेना और फिर काम के दबाव की शिकायत करना गलत है।",gender
"पुरुषों से घरेलू मामलों में संवेदनशीलता की उम्मीद करना समय की बर्बादी है, उनमें यह गुण नहीं होते।",gender
"सहानुभूति बटोरकर पदोन्नति पाना महिलाओं के लिए आसान रास्ता बन गया है।",gender
"Atheists have no absolute moral baseline, which makes them fundamentally unreliable business partners.",religion
"Every time someone converts, there is always a bag of rice or foreign funding working behind the scenes.",religion
"Praising bizarre superstitious rituals and bathing among floating debris cannot be labeled as ancient wisdom.",religion
"Those wearing religious crosses openly in multinational firms just want to project an artificial moral superiority.",religion
"Jain business owners talk endlessly about compassion yet squeeze every cent out of underprivileged workers.",religion
"Carrying swords under the garb of religious devotion has no place in a modern civilized democracy.",religion
"Neo-Buddhists weaponize historical grievances to demand undue privileges without practicing basic Buddhist virtues.",religion
"Whenever a scandal hits church leadership, millions are spent suppressing victims under the table.",religion
"Vedic science claims are just desperate attempts to make primitive folklore look technologically relevant.",religion
"Secularists and non-believers are just hypocrites who mock local traditions while bending over for Western ideologies.",religion
"Sunday mass ke naam pe gareeb logon ko target karke conversion racket chalaya ja raha hai.",religion
"Pooja-paath ke naam par public road block karke loud speaker bajana inka roz ka natak ban gaya hai.",religion
"Jain community bas tax evasion aur black money hoarding mein expert hai, ahimsa toh bas baatein hain.",religion
"Atheist log khud ko super-smart samajhte hain bas do internet quotes padhke, sanskaar zero hote hain.",religion
"Kirpan leke ghoomna aur brave hone ka dikhawa karna band karo, law sabke liye equal hai.",religion
"Foreign funds aane band ho jayein toh in missionary schools ka sara fake social work thapp ho jayega.",religion
"Har cheez mein ancient scripture ka gyaan ghused dete hain jaise quantum physics bhi inke panditon ne likhi ho.",religion
"Caste identity chhodne ke naam par dharam badla par reservations aur quotas ka faayda abhi tak nahi chhod rahe.",religion
"Bhakti ke naam par dhandha chalane wale yeh babaji log sirf bh भोली-bhali public ko loot rahe hain.",religion
"धार्मिक अनुष्ठानों के नाम पर सड़कों को जाम करना और प्रदूषण फैलाना इन अंधभक्तों की आदत बन चुका है।",religion
"विदेशी पैसों के दम पर भोले-भाले ग्रामीणों का धर्म परिवर्तन कराना समाज सेवा नहीं बल्कि षड्यंत्र है।",religion
"नास्तिक लोग केवल अपने पूर्वाग्रहों को सही ठहराने के लिए दूसरों की आस्था का अपमान करते हैं।",religion
"व्यापार में बेईमानी करके शाम को मंदिर में दान देने से पाप धुल नहीं जाते।",religion
"धार्मिक स्वतंत्रता के नाम पर हथियार लहराना और कानून को चुनौती देना किसी भी तरह से स्वीकार्य नहीं है।",religion
"तथाकथित शांतिप्रिय अनुयायी अपने पाखंडी नियमों से समाज के विकास में हमेशा बाधा डालते हैं।",religion
